,id_dep,nome,Ano-Mes,dataDocumento,nomeFornecedor,tipoDespesa,valorLiquido
0,178957,ABEL MESQUITA JR.,2009-07,2009-07-26,BRASIL TELECOM - OI,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,136.44
1,178957,ABEL MESQUITA JR.,2009-05,2009-05-26,BRASIL TELECOM S. A,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,136.44
2,178957,ABEL MESQUITA JR.,2009-06,2009-06-26,BRASIL TELECOM S. A.,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,136.44
3,178957,ABEL MESQUITA JR.,2009-04,2009-04-26,BRASILTELECOM S. A.,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,136.44
4,178957,ABEL MESQUITA JR.,2009-03,2009-03-26,BRASILTELECOM S. A.,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,136.44
5,178957,ABEL MESQUITA JR.,2009-07,2009-07-31,CEDAE - CIA ESTADUAL DE ÁGUAS E ESGOTOS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,61.0
6,178957,ABEL MESQUITA JR.,2009-09,2009-09-01,COMPANHIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,73.02
7,178957,ABEL MESQUITA JR.,2009-09,2009-09-25,CTIS TECNOLOGIA S. A.,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,264.0
8,178957,ABEL MESQUITA JR.,2009-08,2009-08-11,LIGHT SERVIÇOS DE ELETRICIDADE S. A.,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,89.11
9,178957,ABEL MESQUITA JR.,2009-09,2009-09-10,LIGHT SERVIÇOS DE ELETRICIDADE S. A.,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,148.4
10,178957,ABEL MESQUITA JR.,2009-06,2009-06-08,NEXTEL TELECOMUNICAÇÕES LTDA,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,794.45
11,178957,ABEL MESQUITA JR.,2009-07,2009-07-09,NEXTEL TELECOMUNICAÇÕES LTDA,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,886.28
12,178957,ABEL MESQUITA JR.,2009-04,2009-04-08,NEXTEL TELECOMUNICAÇÕES LTDA,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,987.29
13,178957,ABEL MESQUITA JR.,2009-05,2009-05-08,NEXTEL TELECOMUNICAÇÕES LTDA,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,984.26
14,178957,ABEL MESQUITA JR.,2009-08,2009-08-20,O REI DOS ENVELOPES - GRÁF COM DISTR LTDA,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,3900.0
15,178957,ABEL MESQUITA JR.,2009-12,2009-12-28,PAPELARIA ABC COM E IND LTDA,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,10000.0
