,nome,id
818,FÉLIX MENDONÇA,74542
819,FÉLIX MENDONÇA JÚNIOR,160666
822,FERNANDA MELCHIONNA,204407
823,FERNANDO BORJA,212504
824,FERNANDO CHIARELLI,154734
825,FERNANDO CHUCRE,141344
826,FERNANDO COELHO FILHO,141431
830,FERNANDO CORUJA,73471
831,FERNANDO DE FABINHO,74063
832,FERNANDO DINIZ,74658
833,FERNANDO FERRO,74417
835,FERNANDO FRANCISCHINI,160646
836,FERNANDO GABEIRA,74841
837,FERNANDO GONÇALVES,74842
838,FERNANDO JORDÃO,163831
840,FERNANDO LOPES,74843
842,FERNANDO MARRONI,73481
845,FERNANDO MELO,141432
846,FERNANDO MINEIRO,204445
847,FERNANDO MONTEIRO,92699
849,FERNANDO NASCIMENTO,152608
850,FERNANDO RODOLFO,204427
851,FERNANDO TORRES,160676
853,FERNANDO WILLIAM,74487
854,FERNANDO ZACHIA,179383
855,FILIPE BARROS,204411
856,FILIPE PEREIRA,141433
858,FLÁVIA ARRUDA,204354
859,FLÁVIA MORAIS,160598
862,FLAVIANO MELO,141434
866,FLAVINHO,178978
867,FLAVIO ANTUNES,159260
868,FLÁVIO BEZERRA,141435
869,FLÁVIO DINO,141436
870,FLAVIO NOGUEIRA,191923
871,FLÁVIO NOGUEIRA,191923
872,FLORDELIS,204447
873,FLORIANO PESARO,178979
874,FRANCISCO ARAÚJO,165675
875,FRANCISCO CHAGAS,172029
876,FRANCISCO CHAPADINHA,178907
877,FRANCISCO DE ASSIS,178387
878,FRANCISCO ESCÓRCIO,137983
879,FRANCISCO FLORIANO,160677
881,FRANCISCO JR.,204392
882,FRANCISCO PRACIANO,141438
884,FRANCISCO RODRIGUES,73981
885,FRANCISCO ROSSI,139212
886,FRANCISCO TENORIO,141467
887,FRANCISCO TENÓRIO,141467
888,FRANCO CARTAFINA,204510
889,FRANK AGUIAR,141437
890,FRANKLIN,186775
891,FRED COSTA,204494
892,FREDO JUNIOR,86634
893,FREI ANASTACIO RIBEIRO,204393
894,FREIRE JÚNIOR,74189
896,FREITAS DO PT,204651
897,GABRIEL CHALITA,160537
898,GABRIEL GUIMARÃES,129037
900,GASTÃO VIEIRA,74200
903,GEAN LOUREIRO,165429
904,GEDDEL VIEIRA LIMA,74544
905,GELSON AZEVEDO,115746
906,GENECIAS NORONHA,160669
909,GENERAL GIRÃO,204473
910,GENERAL PETERNELLI,204484
911,GENINHO ZULIANI,204527
912,GEORGE HILTON,141441
915,GEOVANIA DE SÁ,178966
917,GERA ARRUDA,145895
918,GERALDINHO,155920
919,GERALDO PUDIM,141442
920,GERALDO RESENDE,74374
924,GERALDO SIMÕES,74566
926,GERALDO THADEU,74151
928,GERMANO BONOW,141443
929,GERÔNIMO DA ADEFAL,141444
930,GERSON PERES,74076
931,GERVÁSIO MAIA,204394
932,GERVÁSIO SILVA,73472
933,GIACOBO,74383
937,GIL CUTRIM,204575
938,GILBERTO ABRAMO,204491
939,GILBERTO COUTINHO,179380
940,GILBERTO NASCIMENTO,74270
942,GILMAR MACHADO,74581
944,GILSON MARQUES,204365
945,GIOVANI CHERINI,160673
948,GIOVANI FELTES,178996
950,GIOVANNI QUEIROZ,74077
953,GIROTO,160562
954,GISELA SEQUEIRA,159265
955,GIUSEPPE VECCI,178878
956,GIVALDO CARIMBÃO,74558
959,GIVALDO VIEIRA,178872
960,GLADSON CAMELI,141446
962,GLAUBER BRAGA,152605
966,GLAUSTIN DA FOKUS,204419
967,GLEISI HOFFMANN,107283
968,GOIACIARA CRUZ,173802
969,GONZAGA PATRIOTA,74419
973,GORETE PEREIRA,129618
977,GOULART,178980
978,GREYCE ELIAS,198197
979,GUIGA PEIXOTO,204513
980,GUILHERME CAMPOS,141447
982,GUILHERME COELHO,194259
983,GUILHERME DERRITE,204531
984,GUILHERME MENEZES,74139
985,GUILHERME MUSSI,160667
988,GURGEL,204442
989,GUSTAVO FRUET,73460
991,GUSTAVO MITRE,205298
992,GUSTAVO PETTA,176120
993,GUSTINHO RIBEIRO,204408
994,GUTEMBERG REIS,204456
995,HAROLDO CATHEDRAL,204465
996,HEITOR FREIRE,204548
997,HEITOR SCHUCH,178964
999,HELCIO SILVA,175737
